acon_C_e,Organic acid
glcn_e,Organic acid
akg_e,Organic acid
guln__L_e,Organic acid
ala__D_e,Amino acid
ala__L_e,Amino acid
asn__L_e,Amino acid
asp__L_e,Amino acid
glc__D_e,Carbohydrate
pyr_e,Organic acid
cit_e,Organic acid
lac__L_e,Organic acid
ppa_e,Organic acid
succ_e,Organic acid
balamd_e,Amino acid Derivates
glu__L_e,Amino acid
his__L_e,Amino acid
leu__L_e,Amino acid
pro__L_e,Amino acid
ser__L_e,Amino acid
4abut_e,Amino acid Derivates
ins_e,Nucleotide Derivates
ptrc_e,Amine
glyc_e,Alcohol Derivates
bhb_e,Organic acid
ac_e,Organic acid
orn_e,Amino acid Derivates
thr__L_e,Amino acid
urcan_e,Amino acid Derivates
uri_e,Nucleotide Derivates
thymd_e,Nucleotide Derivates
etha_e,Amine
btd_RR_e,Alcohol Derivates
